SUMMARY_LEVEL,SUMMARY_LEVEL_2,COUNTRY_CODE,COUNTRY_NAME,COUNTRY_SUBCODE,GENERAL_VALUES_MONTH,GENERAL_VALUES_YEAR,DISTRICT,DISTRICT_NAME,MONTHLY_CONSUMPTION_VALUE,YEARLY_CONSUMPTION_VALUE,COMMODITY_DESCRIPTION,COMMODITY,YEAR,MONTH
CGP,HSCYDT,0003,EUROPEAN UNION,-,115136,115136,04,"BOSTON, MA",115136,115136,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0001,OPEC,-,20201,20201,10,"NEW YORK CITY, NY",20201,20201,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0001,OPEC,-,130038,130038,28,"SAN FRANCISCO, CA",130038,130038,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0001,OPEC,-,15255,15255,52,"MIAMI, FL",15255,15255,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0001,OPEC,-,33025,33025,53,"HOUSTON-GALVESTON, TX",33025,33025,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,20610,20610,07,"OGDENSBURG, NY",20610,20610,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,44795,44795,09,"BUFFALO, NY",44795,44795,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,8998772,8998772,10,"NEW YORK CITY, NY",8998772,8998772,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,90594,90594,11,"PHILADELPHIA, PA",90594,90594,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,2373020,2373020,13,"BALTIMORE, MD",2373020,2373020,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,1324492,1324492,14,"NORFOLK, VA",1324492,1324492,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,600571,600571,16,"CHARLESTON, SC",600571,600571,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,672023,672023,18,"TAMPA, FL",672023,672023,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,442487,442487,20,"NEW ORLEANS, LA",442487,442487,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,1496567,1496567,27,"LOS ANGELES, CA",1496567,1496567,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,1271203,1271203,28,"SAN FRANCISCO, CA",1271203,1271203,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
