SUMMARY LEVEL,SUMMARY LEVEL 2,COUNTRY CODE,COUNTRY NAME,COUNTRY SUBCODE,GENERAL VALUES/MONTH,GENERAL VALUES/YEAR,DISTRICT,DISTRICT NAME,MONTHLY CONSUMPTION VALUE,YEARLY CONSUMPTION VALUE,COMMODITY DESCRIPTION,COMMODITY,YEAR,MONTH
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,15511687,15511687,-,TOTAL FOR ALL DISTRICTS,15549907,15549907,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,100359,100359,04,"BOSTON, MA",100359,100359,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,2782365,2782365,10,"NEW YORK CITY, NY",2782365,2782365,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,221603,221603,13,"BALTIMORE, MD",221603,221603,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,407135,407135,16,"CHARLESTON, SC",407135,407135,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,1290646,1290646,17,"SAVANNAH, GA",1290646,1290646,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,109945,109945,18,"TAMPA, FL",109945,109945,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,139608,139608,20,"NEW ORLEANS, LA",139608,139608,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,96020,96020,23,"LAREDO, TX",96020,96020,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,3827,3827,24,"EL PASO, TX",3827,3827,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,123134,123134,25,"SAN DIEGO, CA",123134,123134,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,112005,112005,26,"NOGALES, AZ",112005,112005,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,3348787,3348787,27,"LOS ANGELES, CA",3348787,3348787,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,3421500,3421500,28,"SAN FRANCISCO, CA",3459720,3459720,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,90106,90106,30,"SEATTLE, WA",90106,90106,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,206460,206460,35,"MINNEAPOLIS, MN",206460,206460,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,328850,328850,37,"MILWAUKEE, WI",328850,328850,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,1194,1194,38,"DETROIT, MI",1194,1194,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,1910727,1910727,39,"CHICAGO, IL",1910727,1910727,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,282114,282114,41,"CLEVELAND, OH",282114,282114,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,202091,202091,45,"ST. LOUIS, MO",202091,202091,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,22092,22092,52,"MIAMI, FL",22092,22092,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,132659,132659,53,"HOUSTON-GALVESTON, TX",132659,132659,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
DET,HSCSDT,-,TOTAL FOR ALL COUNTRIES,00,178460,178460,55,"DALLAS-FORT WORTH, TX",178460,178460,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0003,EUROPEAN UNION,00,106774,106774,41,"CLEVELAND, OH",106774,106774,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,100359,100359,04,"BOSTON, MA",100359,100359,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,2782365,2782365,10,"NEW YORK CITY, NY",2782365,2782365,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,221603,221603,13,"BALTIMORE, MD",221603,221603,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,407135,407135,16,"CHARLESTON, SC",407135,407135,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,1290646,1290646,17,"SAVANNAH, GA",1290646,1290646,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,109945,109945,18,"TAMPA, FL",109945,109945,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,136876,136876,20,"NEW ORLEANS, LA",136876,136876,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,95370,95370,23,"LAREDO, TX",95370,95370,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,3827,3827,24,"EL PASO, TX",3827,3827,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,122701,122701,25,"SAN DIEGO, CA",122701,122701,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,112005,112005,26,"NOGALES, AZ",112005,112005,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,3273348,3273348,27,"LOS ANGELES, CA",3273348,3273348,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,3421500,3421500,28,"SAN FRANCISCO, CA",3459720,3459720,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,90106,90106,30,"SEATTLE, WA",90106,90106,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,206460,206460,35,"MINNEAPOLIS, MN",206460,206460,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,328850,328850,37,"MILWAUKEE, WI",328850,328850,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,1194,1194,38,"DETROIT, MI",1194,1194,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,1865114,1865114,39,"CHICAGO, IL",1865114,1865114,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,175340,175340,41,"CLEVELAND, OH",175340,175340,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,202091,202091,45,"ST. LOUIS, MO",202091,202091,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,22092,22092,52,"MIAMI, FL",22092,22092,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,132659,132659,53,"HOUSTON-GALVESTON, TX",132659,132659,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0014,PACIFIC RIM COUNTRIES,00,178460,178460,55,"DALLAS-FORT WORTH, TX",178460,178460,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
CGP,HSCYCSDT,0020,NAFTA,00,2732,2732,20,"NEW ORLEANS, LA",2732,2732,"GLOVES,SEAMLESS,SURGICAL & MEDICAL,OF PLASTIC",3926201010,2020,01
