SUMMARY_LEVEL,SUMMARY_LEVEL_2,COUNTRY_CODE,COUNTRY_NAME,COUNTRY_SUBCODE,GENERAL_VALUES_MONTH,GENERAL_VALUES_YEAR,DISTRICT,DISTRICT_NAME,MONTHLY_CONSUMPTION_VALUE,YEARLY_CONSUMPTION_VALUE,COMMODITY_DESCRIPTION,COMMODITY,YEAR,MONTH
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,3645371140,3645371140,-,TOTAL FOR ALL DISTRICTS,3649623422,3649623422,"Vaccines, Blood, and Immunological products",3002,2019,01
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,3645371140,3645371140,-,TOTAL FOR ALL DISTRICTS,3649623422,3649623422,"Vaccines, Blood, and Immunological products",3002,2019,01
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,2456989824,6102360964,-,TOTAL FOR ALL DISTRICTS,2425250997,6074874419,"Vaccines, Blood, and Immunological products",3002,2019,02
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,2456989824,6102360964,-,TOTAL FOR ALL DISTRICTS,2425250997,6074874419,"Vaccines, Blood, and Immunological products",3002,2019,02
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,3757529320,9859890284,-,TOTAL FOR ALL DISTRICTS,3725355161,9800229580,"Vaccines, Blood, and Immunological products",3002,2019,03
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,3757529320,9859890284,-,TOTAL FOR ALL DISTRICTS,3725355161,9800229580,"Vaccines, Blood, and Immunological products",3002,2019,03
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,4087609376,13947499660,-,TOTAL FOR ALL DISTRICTS,4052383162,13852612742,"Vaccines, Blood, and Immunological products",3002,2019,04
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,4087609376,13947499660,-,TOTAL FOR ALL DISTRICTS,4052383162,13852612742,"Vaccines, Blood, and Immunological products",3002,2019,04
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,3140860135,17088359795,-,TOTAL FOR ALL DISTRICTS,3060517728,16913130470,"Vaccines, Blood, and Immunological products",3002,2019,05
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,3140860135,17088359795,-,TOTAL FOR ALL DISTRICTS,3060517728,16913130470,"Vaccines, Blood, and Immunological products",3002,2019,05
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,3487904978,20576264773,-,TOTAL FOR ALL DISTRICTS,3423998409,20337128879,"Vaccines, Blood, and Immunological products",3002,2019,06
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,3487904978,20576264773,-,TOTAL FOR ALL DISTRICTS,3423998409,20337128879,"Vaccines, Blood, and Immunological products",3002,2019,06
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,3841561294,24417826067,-,TOTAL FOR ALL DISTRICTS,3828642337,24165771216,"Vaccines, Blood, and Immunological products",3002,2019,07
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,3841561294,24417826067,-,TOTAL FOR ALL DISTRICTS,3828642337,24165771216,"Vaccines, Blood, and Immunological products",3002,2019,07
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,4209746726,28627572793,-,TOTAL FOR ALL DISTRICTS,4211214807,28376986023,"Vaccines, Blood, and Immunological products",3002,2019,08
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,4209746726,28627572793,-,TOTAL FOR ALL DISTRICTS,4211214807,28376986023,"Vaccines, Blood, and Immunological products",3002,2019,08
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,3728712812,32356285605,-,TOTAL FOR ALL DISTRICTS,3173530430,31550516453,"Vaccines, Blood, and Immunological products",3002,2019,09
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,3728712812,32356285605,-,TOTAL FOR ALL DISTRICTS,3173530430,31550516453,"Vaccines, Blood, and Immunological products",3002,2019,09
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,3790833938,36147119543,-,TOTAL FOR ALL DISTRICTS,3788255573,35338772026,"Vaccines, Blood, and Immunological products",3002,2019,10
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,3790833938,36147119543,-,TOTAL FOR ALL DISTRICTS,3788255573,35338772026,"Vaccines, Blood, and Immunological products",3002,2019,10
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,3351643781,39498763324,-,TOTAL FOR ALL DISTRICTS,3353057622,38691829648,"Vaccines, Blood, and Immunological products",3002,2019,11
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,3351643781,39498763324,-,TOTAL FOR ALL DISTRICTS,3353057622,38691829648,"Vaccines, Blood, and Immunological products",3002,2019,11
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,3293524006,42792287330,-,TOTAL FOR ALL DISTRICTS,3252845844,41944675492,"Vaccines, Blood, and Immunological products",3002,2019,12
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,3293524006,42792287330,-,TOTAL FOR ALL DISTRICTS,3252845844,41944675492,"Vaccines, Blood, and Immunological products",3002,2019,12
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,34059234,34059234,-,TOTAL FOR ALL DISTRICTS,34457297,34457297,Medication (unmeasured doses),3003,2019,01
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,34059234,34059234,-,TOTAL FOR ALL DISTRICTS,34457297,34457297,Medication (unmeasured doses),3003,2019,01
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,26736162,60795396,-,TOTAL FOR ALL DISTRICTS,26561100,61018397,Medication (unmeasured doses),3003,2019,02
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,26736162,60795396,-,TOTAL FOR ALL DISTRICTS,26561100,61018397,Medication (unmeasured doses),3003,2019,02
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,32276541,93071937,-,TOTAL FOR ALL DISTRICTS,32107470,93125867,Medication (unmeasured doses),3003,2019,03
DET,HSCS,-,TOTAL FOR ALL COUNTRIES,00,32276541,93071937,-,TOTAL FOR ALL DISTRICTS,32107470,93125867,Medication (unmeasured doses),3003,2019,03
DET,HS,-,TOTAL FOR ALL COUNTRIES,-,50167868,143239805,-,TOTAL FOR ALL DISTRICTS,56819630,149945497,Medication (unmeasured doses),3003,2019,04
