zip,lat,long,city,state_id,state,population,county_fips,cityST,us_Lat_Long
601,18.180039999999998,-66.75218000000001,Adjuntas,PR,Puerto Rico,17242,72001,"Adjuntas, PR","18.180039999999998,-66.75218000000001"
602,18.36073,-67.17517,Aguada,PR,Puerto Rico,38442,72003,"Aguada, PR","18.36073,-67.17517"
603,18.45439,-67.12201999999999,Aguadilla,PR,Puerto Rico,48814,72005,"Aguadilla, PR","18.45439,-67.12201999999999"
606,18.16724,-66.93828,Maricao,PR,Puerto Rico,6437,72093,"Maricao, PR","18.16724,-66.93828"
610,18.29032,-67.12243000000001,Anasco,PR,Puerto Rico,27073,72011,"Anasco, PR","18.29032,-67.12243000000001"
612,18.40699,-66.70803000000001,Arecibo,PR,Puerto Rico,60303,72013,"Arecibo, PR","18.40699,-66.70803000000001"
616,18.41753,-66.66814000000001,Bajadero,PR,Puerto Rico,10765,72013,"Bajadero, PR","18.41753,-66.66814000000001"
617,18.44124,-66.55917,Barceloneta,PR,Puerto Rico,23974,72017,"Barceloneta, PR","18.44124,-66.55917"
622,17.99174,-67.15248000000001,Boqueron,PR,Puerto Rico,6578,72023,"Boqueron, PR","17.99174,-67.15248000000001"
623,18.08355,-67.15417,Cabo Rojo,PR,Puerto Rico,42427,72023,"Cabo Rojo, PR","18.08355,-67.15417"
624,18.06465,-66.71823,Penuelas,PR,Puerto Rico,22707,72111,"Penuelas, PR","18.06465,-66.71823"
627,18.419,-66.86033,Camuy,PR,Puerto Rico,32222,72027,"Camuy, PR","18.419,-66.86033"
631,18.18555,-66.83327,Castaner,PR,Puerto Rico,1568,72081,"Castaner, PR","18.18555,-66.83327"
637,18.07982,-66.94274,Sabana Grande,PR,Puerto Rico,22975,72121,"Sabana Grande, PR","18.07982,-66.94274"
638,18.28904,-66.5151,Ciales,PR,Puerto Rico,16701,72039,"Ciales, PR","18.28904,-66.5151"
641,18.26408,-66.71376,Utuado,PR,Puerto Rico,27571,72141,"Utuado, PR","18.26408,-66.71376"
646,18.43401,-66.2833,Dorado,PR,Puerto Rico,37494,72051,"Dorado, PR","18.43401,-66.2833"
647,17.96612,-66.94383,Ensenada,PR,Puerto Rico,5643,72055,"Ensenada, PR","17.96612,-66.94383"
650,18.34321,-66.58601,Florida,PR,Puerto Rico,14760,72054,"Florida, PR","18.34321,-66.58601"
652,18.45542,-66.60635,Garrochales,PR,Puerto Rico,3697,72013,"Garrochales, PR","18.45542,-66.60635"
653,17.98574,-66.89033,Guanica,PR,Puerto Rico,11140,72055,"Guanica, PR","17.98574,-66.89033"
656,18.0528,-66.79182,Guayanilla,PR,Puerto Rico,18979,72059,"Guayanilla, PR","18.0528,-66.79182"
659,18.41069,-66.79648,Hatillo,PR,Puerto Rico,40390,72065,"Hatillo, PR","18.41069,-66.79648"
660,18.134179999999997,-67.11402,Hormigueros,PR,Puerto Rico,16180,72067,"Hormigueros, PR","18.134179999999997,-67.11402"
662,18.46208,-67.01445,Isabela,PR,Puerto Rico,40290,72071,"Isabela, PR","18.46208,-67.01445"
664,18.21152,-66.5889,Jayuya,PR,Puerto Rico,14991,72073,"Jayuya, PR","18.21152,-66.5889"
667,18.01227,-67.04089,Lajas,PR,Puerto Rico,23590,72079,"Lajas, PR","18.01227,-67.04089"
669,18.27102,-66.86981999999999,Lares,PR,Puerto Rico,25653,72081,"Lares, PR","18.27102,-66.86981999999999"
670,18.23777,-66.98877,Las Marias,PR,Puerto Rico,8498,72083,"Las Marias, PR","18.23777,-66.98877"
