ZIP,US_LAT,US_LONG,CITY,STATE_ID,STATE,POPULATION,COUNTY_FIPS,DISTRICT_NAME,US_LAT_LONG
601,18.18004,-66.75218,Adjuntas,PR,Puerto Rico,17242,72001,"ADJUNTAS, PR","18.180039999999998,-66.75218000000001"
602,18.36073,-67.17517,Aguada,PR,Puerto Rico,38442,72003,"AGUADA, PR","18.36073,-67.17517"
603,18.45439,-67.12202,Aguadilla,PR,Puerto Rico,48814,72005,"AGUADILLA, PR","18.45439,-67.12201999999999"
606,18.16724,-66.93828,Maricao,PR,Puerto Rico,6437,72093,"MARICAO, PR","18.16724,-66.93828"
610,18.29032,-67.12243,Anasco,PR,Puerto Rico,27073,72011,"ANASCO, PR","18.29032,-67.12243000000001"
612,18.40699,-66.70803,Arecibo,PR,Puerto Rico,60303,72013,"ARECIBO, PR","18.40699,-66.70803000000001"
616,18.41753,-66.66814,Bajadero,PR,Puerto Rico,10765,72013,"BAJADERO, PR","18.41753,-66.66814000000001"
617,18.44124,-66.55917,Barceloneta,PR,Puerto Rico,23974,72017,"BARCELONETA, PR","18.44124,-66.55917"
622,17.99174,-67.15248,Boqueron,PR,Puerto Rico,6578,72023,"BOQUERON, PR","17.99174,-67.15248000000001"
623,18.08355,-67.15417,Cabo Rojo,PR,Puerto Rico,42427,72023,"CABO ROJO, PR","18.08355,-67.15417"
624,18.06465,-66.71823,Penuelas,PR,Puerto Rico,22707,72111,"PENUELAS, PR","18.06465,-66.71823"
627,18.419,-66.86033,Camuy,PR,Puerto Rico,32222,72027,"CAMUY, PR","18.419,-66.86033"
631,18.18555,-66.83327,Castaner,PR,Puerto Rico,1568,72081,"CASTANER, PR","18.18555,-66.83327"
637,18.07982,-66.94274,Sabana Grande,PR,Puerto Rico,22975,72121,"SABANA GRANDE, PR","18.07982,-66.94274"
638,18.28904,-66.5151,Ciales,PR,Puerto Rico,16701,72039,"CIALES, PR","18.28904,-66.5151"
641,18.26408,-66.71376,Utuado,PR,Puerto Rico,27571,72141,"UTUADO, PR","18.26408,-66.71376"
646,18.43401,-66.2833,Dorado,PR,Puerto Rico,37494,72051,"DORADO, PR","18.43401,-66.2833"
647,17.96612,-66.94383,Ensenada,PR,Puerto Rico,5643,72055,"ENSENADA, PR","17.96612,-66.94383"
650,18.34321,-66.58601,Florida,PR,Puerto Rico,14760,72054,"FLORIDA, PR","18.34321,-66.58601"
652,18.45542,-66.60635,Garrochales,PR,Puerto Rico,3697,72013,"GARROCHALES, PR","18.45542,-66.60635"
653,17.98574,-66.89033,Guanica,PR,Puerto Rico,11140,72055,"GUANICA, PR","17.98574,-66.89033"
656,18.0528,-66.79182,Guayanilla,PR,Puerto Rico,18979,72059,"GUAYANILLA, PR","18.0528,-66.79182"
659,18.41069,-66.79648,Hatillo,PR,Puerto Rico,40390,72065,"HATILLO, PR","18.41069,-66.79648"
660,18.13418,-67.11402,Hormigueros,PR,Puerto Rico,16180,72067,"HORMIGUEROS, PR","18.134179999999997,-67.11402"
662,18.46208,-67.01445,Isabela,PR,Puerto Rico,40290,72071,"ISABELA, PR","18.46208,-67.01445"
664,18.21152,-66.5889,Jayuya,PR,Puerto Rico,14991,72073,"JAYUYA, PR","18.21152,-66.5889"
667,18.01227,-67.04089,Lajas,PR,Puerto Rico,23590,72079,"LAJAS, PR","18.01227,-67.04089"
669,18.27102,-66.86982,Lares,PR,Puerto Rico,25653,72081,"LARES, PR","18.27102,-66.86981999999999"
670,18.23777,-66.98877,Las Marias,PR,Puerto Rico,8498,72083,"LAS MARIAS, PR","18.23777,-66.98877"
674,18.42123,-66.49004,Manati,PR,Puerto Rico,39859,72091,"MANATI, PR","18.421229999999998,-66.49004000000001"
676,18.3779,-67.08083,Moca,PR,Puerto Rico,36995,72099,"MOCA, PR","18.3779,-67.08083"
677,18.3357,-67.23168,Rincon,PR,Puerto Rico,14311,72117,"RINCON, PR","18.3357,-67.23168000000001"
678,18.43269,-66.92812,Quebradillas,PR,Puerto Rico,26091,72115,"QUEBRADILLAS, PR","18.43269,-66.92811999999999"
680,18.16327,-67.36195,Mayaguez,PR,Puerto Rico,46395,72097,"MAYAGUEZ, PR","18.16327,-67.36195"
682,18.22117,-67.1538,Mayaguez,PR,Puerto Rico,32359,72097,"MAYAGUEZ, PR","18.22117,-67.1538"
683,18.10998,-67.0373,San German,PR,Puerto Rico,30424,72125,"SAN GERMAN, PR","18.10998,-67.0373"
685,18.33625,-66.97225,San Sebastian,PR,Puerto Rico,38039,72131,"SAN SEBASTIAN, PR","18.33625,-66.97225"
687,18.31708,-66.4203,Morovis,PR,Puerto Rico,31320,72101,"MOROVIS, PR","18.317079999999997,-66.4203"
688,18.38056,-66.62425,Sabana Hoyos,PR,Puerto Rico,12202,72013,"SABANA HOYOS, PR","18.38056,-66.62425"
690,18.49567,-67.09825,San Antonio,PR,Puerto Rico,5352,72005,"SAN ANTONIO, PR","18.49567,-67.09825"
692,18.40845,-66.33691,Vega Alta,PR,Puerto Rico,35840,72143,"VEGA ALTA, PR","18.40845,-66.33691"
693,18.42132,-66.40012,Vega Baja,PR,Puerto Rico,54428,72145,"VEGA BAJA, PR","18.42132,-66.40012"
694,18.48329,-66.39261,Vega Baja,PR,Puerto Rico,69,72145,"VEGA BAJA, PR","18.48329,-66.39260999999999"
698,18.06728,-66.85273,Yauco,PR,Puerto Rico,36312,72153,"YAUCO, PR","18.06728,-66.85273000000001"
703,18.24841,-66.13119,Aguas Buenas,PR,Puerto Rico,26320,72007,"AGUAS BUENAS, PR","18.24841,-66.13119"
704,17.96719,-66.22017,Aguirre,PR,Puerto Rico,8274,72123,"AGUIRRE, PR","17.96719,-66.22017"
705,18.12946,-66.26477,Aibonito,PR,Puerto Rico,23176,72009,"AIBONITO, PR","18.12946,-66.26477"
707,18.01814,-65.92201,Maunabo,PR,Puerto Rico,10964,72095,"MAUNABO, PR","18.01814,-65.92201"
714,17.99854,-66.05606,Arroyo,PR,Puerto Rico,17998,72015,"ARROYO, PR","17.99854,-66.05606"
715,18.01172,-66.55985,Mercedita,PR,Puerto Rico,2972,72113,"MERCEDITA, PR","18.01172,-66.55985"
716,17.9994,-66.60007,Ponce,PR,Puerto Rico,28089,72113,"PONCE, PR","17.9994,-66.60007"
717,18.00333,-66.61331,Ponce,PR,Puerto Rico,16659,72113,"PONCE, PR","18.00333,-66.61331"
718,18.2333,-65.76108,Naguabo,PR,Puerto Rico,25715,72103,"NAGUABO, PR","18.2333,-65.76108"
719,18.2888,-66.25336,Naranjito,PR,Puerto Rico,29119,72105,"NARANJITO, PR","18.2888,-66.25336"
720,18.21772,-66.42817,Orocovis,PR,Puerto Rico,21276,72107,"OROCOVIS, PR","18.21772,-66.42817"
723,18.03237,-66.01233,Patillas,PR,Puerto Rico,17393,72109,"PATILLAS, PR","18.03237,-66.01233"
725,18.21858,-66.04275,Caguas,PR,Puerto Rico,80555,72025,"CAGUAS, PR","18.21858,-66.04275"
727,18.21495,-66.07356,Caguas,PR,Puerto Rico,54823,72025,"CAGUAS, PR","18.21495,-66.07356"
728,18.00627,-66.6612,Ponce,PR,Puerto Rico,39698,72113,"PONCE, PR","18.00627,-66.6612"
